32;60;2;9;16;9;0
33;203;89;2;14;9;4
34;192;89;5;6;9;3
35;149;2;9;14;9;0
36;202;2;8;15;9;1
37;122;36;8;14;9;1
38;141;54;8;14;9;1
39;237;89;2;6;9;4
40;74;89;5;15;9;3
41;88;89;5;15;9;1
42;128;89;6;10;9;1
43;2;89;8;11;9;1
44;178;89;3;15;9;3
45;102;89;8;8;9;1
46;207;89;2;14;9;4
47;223;72;7;13;9;1
48;192;36;8;14;9;1
49;172;89;4;14;9;2
50;124;72;7;14;9;1
51;133;72;7;14;9;1
52;62;20;8;14;9;1
53;187;72;7;14;9;1
54;142;72;7;14;9;1
55;97;72;7;14;9;1
56;214;72;7;14;9;1
57;151;72;7;14;9;1
58;219;89;2;12;9;3
59;183;89;3;14;9;3
60;12;89;8;11;9;1
61;64;89;8;10;9;1
62;22;89;8;11;9;1
63;102;36;8;14;9;1
64;181;54;8;14;9;1
65;232;20;8;14;9;1
66;62;36;8;14;9;1
67;41;54;8;14;9;1
68;201;54;8;14;9;1
69;112;36;8;14;9;1
70;142;20;8;14;9;1
71;42;36;8;14;9;1
72;12;72;8;14;9;1
73;211;89;2;14;9;4
74;56;89;6;14;9;1
75;202;36;8;14;9;1
76;205;72;7;14;9;1
77;192;20;8;14;9;1
78;202;20;8;14;9;1
79;32;20;8;14;9;1
80;92;20;8;14;9;1
81;182;2;8;15;9;1
82;2;20;8;14;9;1
83;82;36;8;14;9;1
84;31;54;8;14;9;1
85;2;54;8;14;9;1
86;52;20;8;14;9;1
87;172;20;8;14;9;1
88;72;36;8;14;9;1
89;161;54;8;14;9;1
90;169;72;7;14;9;1
91;95;89;5;15;9;3
92;116;2;9;14;9;0
93;81;89;5;15;9;1
94;223;89;6;4;9;2
95;244;2;8;15;9;1
96;231;89;4;4;9;2
97;121;54;8;14;9;1
98;12;20;8;14;9;1
99;222;36;8;14;9;1
100;111;54;8;14;9;1
101;12;54;8;14;9;1
102;115;72;7;14;9;1
103;52;72;7;15;9;1
104;178;72;7;14;9;1
105;215;89;2;14;9;4
106;122;89;4;15;9;2
107;160;72;7;14;9;1
108;199;89;2;14;9;4
109;152;36;8;14;9;1
110;79;72;7;14;9;1
111;182;36;8;14;9;1
112;212;2;8;15;9;1
113;192;2;8;15;9;1
114;32;89;6;14;9;2
115;88;72;7;14;9;1
116;196;72;7;14;9;1
117;70;72;7;14;9;1
118;212;36;8;14;9;1
119;22;72;8;14;9;1
120;81;54;8;14;9;1
121;234;2;8;15;9;1
122;106;72;7;14;9;1
123;240;72;6;15;9;2
124;188;89;2;15;9;4
125;232;72;6;15;9;1
126;112;89;8;8;9;1
127;61;72;7;14;9;1
192;22;36;8;14;9;1
193;52;36;8;14;9;1
194;152;20;8;14;9;1
195;241;54;8;14;9;1
196;191;54;8;14;9;1
197;112;20;8;14;9;1
198;2;2;14;14;17;1
199;96;2;8;16;9;1
200;61;54;8;14;9;1
201;42;20;8;14;9;1
202;132;36;8;14;9;1
203;182;20;8;14;9;1
204;166;89;4;14;9;3
205;142;89;4;14;9;3
206;48;89;6;14;9;2
207;136;89;4;14;9;3
208;32;2;12;14;17;2
209;72;20;8;14;9;1
210;42;72;8;14;9;1
211;241;36;8;14;9;1
212;131;54;8;14;9;1
213;132;20;8;14;9;1
214;151;54;8;14;9;1
215;222;2;10;12;17;4
216;18;2;12;15;17;3
217;12;36;8;14;9;1
218;32;36;8;14;9;1
219;222;20;8;14;9;1
220;102;20;8;14;9;1
221;91;54;8;14;9;1
222;160;2;9;14;17;4
223;138;2;9;14;17;4
224;101;54;8;14;9;1
225;2;72;8;14;9;1
226;242;20;8;14;9;1
227;92;36;8;14;9;1
228;142;36;8;14;9;1
229;171;54;8;14;9;1
230;46;2;12;14;17;3
231;106;2;8;16;9;1
232;221;54;8;14;9;1
233;162;20;8;14;9;1
234;122;20;8;14;9;1
235;212;20;8;14;9;1
236;148;89;4;14;9;3
237;160;89;4;14;9;3
238;40;89;6;14;9;2
239;154;89;4;14;9;3
240;127;2;9;14;17;4
241;51;54;8;14;9;1
242;172;36;8;14;9;1
243;162;36;8;14;9;1
244;211;54;8;14;9;1
245;22;20;8;14;9;1
246;71;54;8;14;9;1
247;71;2;12;12;17;3
248;171;2;9;14;17;4
249;32;72;8;14;9;1
250;82;20;8;14;9;1
251;231;54;8;14;9;1
252;2;36;8;14;9;1
253;22;54;7;16;9;1
254;85;2;9;16;17;4
255;232;36;7;16;9;1
